Remote Database Scanner - SIEM,Network Scanning and Enumeration,Description: This use case detects an external entity trying to access databases by reaching the ports that the Database are hosted on Technique: Aggregated Event Analytics Compliance: GDPR Type: SIEM,Low,ALERT,Palo Alto Next-Generation Firewall,Next Generation Firewall
Outbound TOR Traffic - SIEM,Circumvention of controls,"Description : traffic to tor exit nodes identify a malicious entry attempting to circumvent the organizations control Technique:  Individual Event Analytics Compliance: SOX,PCI DSS,GDPR, HIPAA AttributeType: SIEM ",Medium,SECURITY POLICY VIOLATION,NULL,Next Generation Firewall
Possible Account Sharing - Next Gen Firewall,Valid Accounts,"Description: This violation can be indicative of possible account sharing
   Technique Used:   Event Attribution                                                                 Version : VPN-20190222",Low,ACCOUNT MISUSE,Fortigate,Next Generation Firewall
Landspeed anomaly on VPN - Next Gen Firewall,Valid Accounts,"Description: Landspeed violation may be indicative of a possible account sharing or an account takeover attempt
Technique Used: Landspeed anomaly detection",Low,ACCOUNT MISUSE,Fortigate,Next Generation Firewall
RDP Access allowed from the internet - SIEM,Application Layer Protocol,Description: RDP Access allowed from the internet can be an indication of malicious traffic to an internal network technique: Individual Event Analytics Compliance: PCI DSS AttributeType: SIEM,Low,ALERT,NULL,Next Generation Firewall
Scan over plain text ports - SIEM ,Network Scanning and Enumeration,"Description: Portscan on network traffic may be indicative of malicious insider/cyber scan or enumeration activity in an attempt to uncover vulnerable endpoints.
Technique Used: Enumeration Behavior anomaly for network port scans      Compliance: PCI DSS, HIPAA  SNYPER_ERROR_0001 : Incident Management/Command Screen can potentially have Display problems due to policy inconsistency ",Low,ALERT,NULL,Next Generation Firewall
RDP Attempt from Malicious IP - SIEM,Suspicious network traffic,"Description: This use case detects if RDP attempt happens from a Malicious IP address Technique: Individual Event Analytics Compliance: SOX, PCI DSS, HIPAA Type: SIEM",Low,ALERT,NULL,Next Generation Firewall
Monitoring Inbound malicious IP addresses - SIEM,Activity from malicious address,"Description: inbound traffic from malicious IP addresses is indicative of a malicious payload or process which would cause an endpoint to communicate with known bad IP addresses.
Technique Used: Threat intelligence correlation
AttributeType: SIEM  Note: This policy has been deprecated as part of the recent Snypr releases. Date: April26th 2021",Low,MALWARE,NULL,Next Generation Firewall
External Port scan - SIEM,Network Scanning and Enumeration,Description: External Port scan is an indication of a recon attempt from an external address Technique: Aggregated Event Analytics Compliance HIPAA AttributeType: SIEM ,Low,ALERT,Palo Alto Next-Generation Firewall,Next Generation Firewall
Brute Force Attack - Next Gen Firewall,Brute Force,"Description: Repeat Failed logins could be indicative of a possible account takeover attempt using brute-force technique. Logon failure reason could further indicate the severity of this attack.
 Technique: Entity attribution. Type : SIEM",Low,ALERT,Fortigate,Next Generation Firewall
User connecting to infected sites - SIEM,Suspicious web request,"Description: Detects when user is trying to connect to infected site Technique:  Individual Event Analytics Compliance: SOX,PCI DSS,GDPR, HIPAA AttributeType: SIEM ",Low,ALERT,NULL,Next Generation Firewall
Zone Transfer from External to Internal - SIEM,DNS traffic anomaly,"Description:  External to Internal DNS zone transfers may be indicative of a malicious entity attempting to communicate on DNS ports over TCP
Technique:  Individual Event Analytics Compliance: SOX,PCI DSS,HIPAA AttributeType: SIEM  Note: This policy has been deprecated as part of the recent Snypr releases. Date: April26th 2021",Low,MALWARE,NULL,Next Generation Firewall
System running external scan - SIEM ,Network Scanning and Enumeration,"Description: Portscan on network traffic may be indicative of malicious insider/cyber scan or enumeration activity in an attempt to uncover vulnerable endpoints. Technique Used: Enumeration Behavior anomaly for network port scans      Compliance: PCI DSS, HIPAA Note: There are duplicate copies of this policy. This may result in violation metadata not loading properly on the command center. Note: This policy has been deprecated as part of the recent Snypr releases. Date: April26th 2021 SNYPER_ERROR_0001 : Incident Management/Command Screen can potentially have Display problems due to policy inconsistency ",Low,MALWARE,NULL,Next Generation Firewall
Ping Sweep or ICMP Inbound Scan - SIEM,Network Scanning and Enumeration,"Port scan from an external system to the internal network may be external system tries to get access on other endpoints of network Technique Used : Enumeration behavior Compliances :SOX,PCI DSS,HIPAA",Low,ALERT,NULL,Next Generation Firewall
Internal System running port scan - Vertical SIEM,Network Scanning and Enumeration,"Description: Port scan from an internal system to the internal network may be a possible endpoint infected by malware and tries to get access on other endpoints of network. On 5/19/21, SX recommended we disable this policy as it has been decommissioned in the master content. They further indicated it was causing major issues with processing. This policy is being disabled. Technique Used : Enumeration behavior Compliances :  SOX,PCI DSS,HIPAA Type: SIEM",Low,MALWARE,NULL,Next Generation Firewall
Remote Recon Network Sweep or scan - SIEM,Network Scanning and Enumeration,Description: Remote Recon Network Sweep or scan is an indication of attempts on an internal network  from a remote host in less time frame Technique: Aggregated Event Analytics Compliance: PCI DSS AttributeType: SIEM ,Low,ALERT,Palo Alto Next-Generation Firewall,Next Generation Firewall
